time_dn,glideslope_error_deg,localizer_error_deg,airspeed_error_kts,total_error
738193.797055304,0.089,0.0839,-0.299,0.4719
738193.797057878,0.0956,0.0849,-0.2986,0.4791
738193.797060445,0.1025,0.0849,-0.299,0.4864
738193.79706302,0.1096,0.0859,-0.3002,0.4957
738193.797065587,0.117,0.0859,-0.3022,0.5051
738193.797068295,0.1245,0.0869,-0.3049,0.5163
738193.797070852,0.1325,0.0871,-0.3085,0.5281
738193.797073427,0.1403,0.0881,-0.3124,0.5408
738193.797075993,0.1486,0.0893,-0.3168,0.5547
738193.797078591,0.1564,0.0891,-0.3217,0.5672
738193.797081135,0.1648,0.0903,-0.327,0.5821
738193.797083735,0.1727,0.0901,-0.3325,0.5953
738193.797086299,0.181,0.0911,-0.3382,0.6103
738193.797088867,0.1895,0.0913,-0.344,0.6248
738193.797091451,0.1978,0.0913,-0.3499,0.639
738193.797094013,0.2058,0.0911,-0.3556,0.6525
738193.797096561,0.2142,0.0911,-0.3615,0.6668
738193.797099161,0.2227,0.0911,-0.3673,0.6811
738193.797101732,0.2312,0.0911,-0.3732,0.6955
738193.797104281,0.2399,0.0901,-0.3793,0.7093
738193.797106842,0.2486,0.0901,-0.3853,0.724
738193.797109419,0.2572,0.0889,-0.3915,0.7376
738193.797112022,0.2661,0.0889,-0.3979,0.7529
738193.797114564,0.2752,0.0889,-0.4047,0.7688
738193.797117129,0.2845,0.0879,-0.4118,0.7842
738193.79711972,0.2936,0.0878,-0.4194,0.8008
738193.797122278,0.3032,0.0867,-0.4274,0.8173
738193.797124854,0.313,0.0857,-0.4357,0.8344
738193.797127411,0.3226,0.0855,-0.4446,0.8527
738193.797129993,0.3326,0.0845,-0.4537,0.8708
738193.797132561,0.3428,0.0845,-0.4633,0.8906
738193.797135134,0.3527,0.0833,-0.473,0.909
738193.797137696,0.363,0.0833,-0.4829,0.9292
738193.797140279,0.3728,0.0821,-0.4927,0.9476
738193.797142874,0.3828,0.0821,-0.5021,0.967
738193.79714542,0.3923,0.0809,-0.5111,0.9843
738193.797147982,0.4018,0.0809,-0.5195,1.0022
738193.797150591,0.4109,0.0807,-0.5272,1.0188
738193.797153153,0.42,0.0797,-0.5343,1.034
738193.797155705,0.429,0.0797,-0.5406,1.0493
738193.797158262,0.4373,0.0795,-0.546,1.0628
738193.797160837,0.4453,0.0793,-0.5506,1.0752
738193.797163408,0.4535,0.0783,-0.5544,1.0862
738193.797166015,0.4609,0.0781,-0.5572,1.0962
738193.797168553,0.4684,0.0781,-0.559,1.1055
738193.797171125,0.4753,0.0779,-0.5599,1.1131
738193.797173704,0.4822,0.0779,-0.5599,1.12
738193.797176268,0.4888,0.0779,-0.5589,1.1256
738193.797178829,0.4948,0.0787,-0.5569,1.1304
738193.797181415,0.5007,0.0787,-0.5539,1.1333
738193.797184011,0.5059,0.0785,-0.5498,1.1342
738193.79718656,0.5111,0.0796,-0.5446,1.1353
738193.797189112,0.5161,0.0796,-0.5383,1.134
738193.797191689,0.5209,0.0796,-0.5311,1.1316
738193.797194267,0.5252,0.0804,-0.523,1.1286
738193.797196828,0.5296,0.0804,-0.5142,1.1242
738193.797199412,0.5339,0.0814,-0.5046,1.1199
738193.79720197,0.5381,0.0825,-0.4947,1.1153
738193.797204535,0.5419,0.0823,-0.4842,1.1084
738193.79720711,0.5457,0.0833,-0.473,1.102
738193.797209682,0.5493,0.0844,-0.4613,1.095
738193.797212251,0.5527,0.0854,-0.4491,1.0872
738193.797214817,0.5558,0.0864,-0.436,1.0782
738193.797217406,0.5587,0.0864,-0.4223,1.0674
738193.797219985,0.5614,0.0885,-0.4081,1.058
738193.797222547,0.5639,0.0896,-0.3932,1.0467
738193.79722511,0.5663,0.0906,-0.3778,1.0347
738193.797227691,0.5686,0.0917,-0.3619,1.0222
738193.797230248,0.5711,0.0929,-0.3456,1.0096
738193.797232822,0.5732,0.095,-0.3292,0.9974
738193.797235418,0.5754,0.096,-0.3128,0.9842
738193.797237968,0.5776,0.0981,-0.2964,0.9721
738193.797240548,0.5801,0.1004,-0.2801,0.9606
738193.797243101,0.5823,0.1025,-0.2641,0.9489
738193.797245673,0.5846,0.1046,-0.2482,0.9374
738193.797248247,0.5873,0.1069,-0.2328,0.927
738193.79725082,0.5898,0.109,-0.2176,0.9164
738193.797253398,0.5927,0.1113,-0.2029,0.9069
738193.797255959,0.5955,0.1135,-0.1891,0.8981
738193.797258556,0.5985,0.1158,-0.1753,0.8896
738193.797261107,0.6015,0.1191,-0.1617,0.8823
738193.797263716,0.6042,0.1212,-0.1486,0.874
738193.797266253,0.6068,0.1244,-0.1355,0.8667
738193.797268872,0.6096,0.1267,-0.122,0.8583
738193.797271406,0.6123,0.1291,-0.1086,0.85
738193.797273961,0.6146,0.1323,-0.095,0.8419
738193.797276531,0.6171,0.1346,-0.0811,0.8328
738193.797279107,0.6194,0.138,-0.0671,0.8245
738193.797281676,0.6216,0.1403,-0.0528,0.8147
738193.797284255,0.6237,0.1427,-0.0383,0.8047
738193.797286833,0.6255,0.146,-0.0233,0.7948
738193.797289374,0.6269,0.1482,-0.0084,0.7835
738193.797291959,0.6283,0.1506,0.0071,0.786
738193.797294518,0.6295,0.1529,0.0232,0.8056
738193.797297095,0.6306,0.1553,0.0393,0.8252
738193.797299675,0.6316,0.1587,0.0558,0.8461
738193.79730223,0.6324,0.16,0.0727,0.8651
738193.797304805,0.6332,0.1624,0.0898,0.8854
738193.797307379,0.634,0.1647,0.1072,0.9059
738193.797309973,0.6347,0.1671,0.1248,0.9266
738193.797312523,0.6355,0.1684,0.1422,0.9461
738193.797315086,0.6367,0.171,0.1597,0.9674
738193.79731767,0.6379,0.1734,0.1768,0.9881
738193.797320246,0.6392,0.1747,0.1935,1.0074
738193.797322802,0.6407,0.176,0.2098,1.0265
738193.797325371,0.6424,0.1784,0.2254,1.0462
738193.79732793,0.6445,0.1799,0.2405,1.0649
738193.797330509,0.6464,0.1812,0.2549,1.0825
738193.797333085,0.6481,0.1826,0.269,1.0997
738193.797335684,0.6501,0.1852,0.2826,1.1179
738193.797338226,0.6515,0.1865,0.2963,1.1343
738193.797340789,0.6533,0.188,0.3097,1.151
738193.797343365,0.6547,0.1904,0.323,1.1681
738193.797345973,0.656,0.1918,0.3366,1.1844
738193.797348498,0.6575,0.1944,0.3501,1.202
738193.797351077,0.6585,0.1957,0.3633,1.2175
738193.79735365,0.6597,0.1984,0.376,1.2341
738193.797356228,0.6607,0.1997,0.3874,1.2478
738193.797358816,0.6618,0.2023,0.3979,1.262
738193.797361375,0.6628,0.205,0.4073,1.2751
738193.797363922,0.6633,0.2063,0.4156,1.2852
738193.7973665,0.6643,0.2089,0.4227,1.2959
738193.797369065,0.6647,0.2114,0.4291,1.3052
738193.797371644,0.6654,0.214,0.435,1.3144
738193.797374216,0.666,0.2167,0.4405,1.3232
738193.797376787,0.6662,0.2191,0.4459,1.3312
738193.797379364,0.6665,0.2218,0.4514,1.3397
738193.797381965,0.6665,0.2255,0.4571,1.3491
738193.797384518,0.6664,0.228,0.4629,1.3573
738193.797387077,0.6663,0.2306,0.4691,1.366
738193.797389652,0.666,0.2333,0.4758,1.3751
738193.797392226,0.6653,0.2368,0.4829,1.385
738193.797394811,0.6646,0.2395,0.4907,1.3948
738193.797397366,0.6639,0.2422,0.4988,1.4049
738193.797399918,0.663,0.2449,0.5075,1.4154
738193.797402529,0.6616,0.2485,0.5165,1.4266
738193.797405064,0.6604,0.2511,0.5261,1.4376
738193.797407644,0.6591,0.2538,0.536,1.4489
738193.797410208,0.6576,0.2576,0.5464,1.4616
738193.797412782,0.656,0.2603,0.557,1.4733
738193.797415352,0.654,0.2628,0.568,1.4848
738193.79741792,0.6522,0.2666,0.5793,1.4981
738193.797420492,0.6503,0.2693,0.5909,1.5105
738193.797423054,0.6483,0.2721,0.6027,1.5231
738193.797425629,0.6463,0.2748,0.6147,1.5358
738193.7974282,0.6443,0.2775,0.6267,1.5485
738193.797430769,0.6423,0.2802,0.6389,1.5614
738193.797433342,0.6403,0.2841,0.651,1.5754
738193.797435908,0.6382,0.2868,0.6631,1.5881
738193.79743849,0.6361,0.2895,0.675,1.6006
738193.797441071,0.634,0.2923,0.6868,1.6131
738193.797443648,0.6322,0.2952,0.6986,1.626
738193.79744621,0.63,0.298,0.7103,1.6383
738193.797448813,0.6277,0.3019,0.7221,1.6517
738193.797451343,0.6254,0.3046,0.7338,1.6638
738193.797453914,0.6231,0.3074,0.7456,1.6761
738193.797456486,0.621,0.3115,0.7574,1.6899
738193.797459068,0.6187,0.3142,0.7692,1.7021
738193.79746164,0.6161,0.317,0.7811,1.7142
738193.797464208,0.6137,0.3209,0.7928,1.7274
738193.797466777,0.6114,0.3239,0.8047,1.74
738193.797469352,0.6088,0.3267,0.8165,1.752
738193.797471925,0.6062,0.3306,0.828,1.7648
738193.797474509,0.6037,0.3336,0.8397,1.777
738193.797477067,0.6009,0.3364,0.8513,1.7886
738193.797479638,0.5983,0.3394,0.8632,1.8009
738193.797482213,0.5951,0.3422,0.8753,1.8126
738193.797484786,0.5922,0.3453,0.8876,1.8251
738193.797487353,0.5888,0.3481,0.9003,1.8372
738193.797489937,0.5853,0.3509,0.9133,1.8495
738193.797492509,0.5818,0.3528,0.9268,1.8614
738193.797495077,0.5782,0.3559,0.9406,1.8747
738193.797497652,0.5742,0.3576,0.9549,1.8867
738193.797500216,0.5704,0.3595,0.9696,1.8995
738193.797502765,0.5661,0.3613,0.9847,1.9121
738193.797505348,0.5623,0.3632,0.9998,1.9253
738193.797507909,0.5585,0.3651,1.015,1.9386
738193.797510488,0.5545,0.3658,1.0301,1.9504
738193.797513033,0.5508,0.3677,1.0449,1.9634
738193.797515616,0.5473,0.3697,1.0593,1.9763
738193.79751818,0.5438,0.3714,1.0732,1.9884
738193.797520753,0.541,0.3722,1.0861,1.9993
738193.797523315,0.5385,0.3742,1.098,2.0107
738193.797525908,0.5364,0.375,1.1087,2.0201
738193.79752846,0.5345,0.377,1.1182,2.0297
738193.797531031,0.5324,0.3776,1.1268,2.0368
738193.797533653,0.5307,0.3796,1.1346,2.0449
738193.79753618,0.5291,0.3804,1.142,2.0515
738193.797538755,0.5275,0.3824,1.1493,2.0592
738193.797541321,0.526,0.3833,1.1563,2.0656
738193.797543895,0.5243,0.3839,1.1631,2.0713
738193.797546464,0.5232,0.3861,1.1698,2.0791
738193.797549025,0.5217,0.3867,1.1762,2.0846
738193.797551599,0.5207,0.3887,1.1823,2.0917
738193.797554169,0.5197,0.3896,1.1881,2.0974
738193.797556764,0.5187,0.3916,1.1936,2.1039
738193.797559316,0.5178,0.3924,1.1989,2.1091
738193.797561968,0.517,0.3944,1.2038,2.1152
738193.797564452,0.5164,0.3953,1.2085,2.1202
738193.797567074,0.5158,0.3973,1.2127,2.1258
738193.797569623,0.5152,0.3993,1.2157,2.1302
738193.797572181,0.5146,0.4013,1.217,2.1329
738193.79757474,0.5139,0.402,1.2158,2.1317
738193.797577299,0.5135,0.404,1.212,2.1295
738193.797579882,0.513,0.406,1.2058,2.1248
738193.797582448,0.5125,0.408,1.1977,2.1182
738193.797585014,0.5121,0.4101,1.1881,2.1103
738193.797587617,0.5112,0.4119,1.1775,2.1006
738193.797590156,0.5106,0.4139,1.1663,2.0908
738193.797592763,0.51,0.4159,1.1548,2.0807
738193.797595294,0.5092,0.4191,1.1432,2.0715
738193.797597873,0.5081,0.4209,1.1317,2.0607
738193.797600435,0.5071,0.423,1.1203,2.0504
738193.797603028,0.5062,0.425,1.1093,2.0405
738193.797605609,0.5047,0.428,1.0986,2.0313
738193.797608166,0.5036,0.43,1.0884,2.022
738193.797610718,0.5023,0.4321,1.0784,2.0128
738193.797613299,0.5005,0.4351,1.0688,2.0044
738193.797615872,0.4989,0.4372,1.0592,1.9953
738193.797618443,0.4969,0.4402,1.0497,1.9868
738193.797621011,0.495,0.4422,1.0401,1.9773
738193.797623581,0.4928,0.4441,1.0307,1.9676
738193.797626151,0.4906,0.4473,1.0215,1.9594
738193.797628724,0.488,0.4492,1.0126,1.9498
738193.797631296,0.4855,0.4524,1.0041,1.942
738193.797633868,0.4827,0.4543,0.9961,1.9331
738193.79763644,0.4795,0.4573,0.9886,1.9254
738193.797639015,0.4766,0.4606,0.9817,1.9189
738193.797641568,0.4731,0.4624,0.9752,1.9107
738193.797644147,0.4698,0.4657,0.9694,1.9049
738193.797646711,0.466,0.4676,0.9641,1.8977
738193.797649345,0.4622,0.4708,0.9594,1.8924
738193.797651888,0.4581,0.4739,0.9553,1.8873
738193.797654427,0.4536,0.477,0.9517,1.8823
738193.797657003,0.4491,0.4789,0.9488,1.8768
738193.797659579,0.4446,0.4821,0.9463,1.873
738193.797662141,0.4397,0.4852,0.9445,1.8694
738193.797664721,0.4347,0.4883,0.9431,1.8661
738193.797667303,0.4297,0.4916,0.9423,1.8636
738193.79766986,0.4242,0.4947,0.942,1.8609
738193.79767243,0.4185,0.4978,0.9422,1.8585
738193.797675002,0.413,0.5011,0.943,1.8571
738193.797677568,0.407,0.5042,0.9442,1.8554
738193.797680156,0.4008,0.5073,0.9459,1.854
738193.797682705,0.3946,0.5106,0.9481,1.8533
738193.797685302,0.3883,0.5137,0.9508,1.8528
738193.797687851,0.3817,0.5169,0.9537,1.8523
738193.797690439,0.3754,0.5202,0.9569,1.8525
738193.797692982,0.3686,0.5233,0.9602,1.8521
738193.797695574,0.3619,0.5277,0.9637,1.8533
738193.797698141,0.3552,0.531,0.9676,1.8538
738193.797700708,0.3483,0.5342,0.9717,1.8542
738193.797703271,0.3416,0.5375,0.976,1.8551
738193.797705848,0.3346,0.5407,0.9802,1.8555
738193.797708416,0.328,0.5441,0.9836,1.8557
738193.79771101,0.321,0.5472,0.9857,1.8539
738193.797713554,0.314,0.5504,0.9855,1.8499
738193.797716126,0.3071,0.5536,0.9804,1.8411
738193.797718692,0.3004,0.5582,0.9678,1.8264
738193.797721283,0.2933,0.5614,0.9467,1.8014
738193.797723845,0.2858,0.5645,0.9174,1.7677
738193.797726423,0.2781,0.5675,0.8819,1.7275
738193.797728991,0.2705,0.5707,0.8414,1.6826
738193.79773156,0.2626,0.5751,0.7976,1.6353
738193.797734121,0.2543,0.5781,0.7516,1.584
738193.797736706,0.246,0.5813,0.7045,1.5318
738193.79773926,0.2372,0.5855,0.6569,1.4796
738193.797741855,0.2282,0.5884,0.6093,1.4259
738193.797744423,0.2192,0.5914,0.5622,1.3728
738193.797746983,0.2099,0.5956,0.5159,1.3214
738193.797749557,0.2005,0.5986,0.47,1.2691
738193.797752133,0.191,0.6028,0.4257,1.2195
738193.797754687,0.1812,0.6058,0.382,1.169
738193.797757267,0.1712,0.6101,0.3396,1.1209
738193.79775983,0.1608,0.6128,0.2984,1.072
738193.797762435,0.1506,0.6171,0.2586,1.0263
738193.797764977,0.1397,0.6199,0.2197,0.9793
738193.797767553,0.129,0.6229,0.1822,0.9341
738193.79777011,0.1176,0.6269,0.1457,0.8902
738193.797772718,0.1061,0.6297,0.1103,0.8461
738193.797775258,0.0947,0.6337,0.0764,0.8048
738193.797777841,0.0831,0.6368,0.0428,0.7627
738193.797780402,0.0712,0.6396,0.0103,0.7211
738193.797782977,0.0592,0.6436,-0.0211,0.7239
738193.797785553,0.0472,0.6465,-0.0515,0.7452
738193.797788143,0.035,0.6493,-0.0813,0.7656
738193.797790688,0.0225,0.6531,-0.1103,0.7859
738193.797793287,0.0101,0.656,-0.139,0.8051
738193.797795831,-0.0022,0.6588,-0.1671,0.8281
738193.797798419,-0.0143,0.6616,-0.1946,0.8705
738193.79780097,-0.0269,0.6655,-0.2219,0.9143
738193.797803596,-0.039,0.6683,-0.249,0.9563
738193.797806136,-0.0515,0.671,-0.2758,0.9983
738193.797808678,-0.0635,0.6738,-0.3024,1.0397
738193.797811247,-0.0759,0.6765,-0.3286,1.081
738193.797813819,-0.0882,0.6791,-0.3546,1.1219
738193.797816408,-0.1005,0.6832,-0.3803,1.164
738193.797818975,-0.1131,0.6858,-0.4054,1.2043
738193.797821555,-0.1258,0.6885,-0.43,1.2443
738193.797824124,-0.1383,0.6914,-0.4538,1.2835
738193.797826719,-0.1514,0.6952,-0.477,1.3236
738193.797829294,-0.1645,0.6979,-0.4991,1.3615
738193.79783182,-0.1784,0.7005,-0.5212,1.4001
738193.797834412,-0.1917,0.7032,-0.5416,1.4365
738193.79783698,-0.2055,0.7059,-0.5614,1.4728
738193.797839572,-0.2197,0.7086,-0.5784,1.5067
738193.797842124,-0.2337,0.7112,-0.5897,1.5346
738193.797844683,-0.2482,0.7139,-0.5943,1.5564
738193.797847243,-0.2625,0.7166,-0.5918,1.5709
738193.797849817,-0.277,0.7193,-0.5831,1.5794
738193.797852399,-0.2918,0.7207,-0.5692,1.5817
738193.797855022,-0.3064,0.7234,-0.5515,1.5813
738193.797857551,-0.3204,0.7251,-0.5304,1.5759
738193.797860112,-0.335,0.7278,-0.5058,1.5686
738193.79786269,-0.3494,0.7296,-0.4769,1.5559
738193.797865254,-0.3634,0.731,-0.4451,1.5395
738193.797867809,-0.3773,0.7327,-0.4089,1.5189
738193.7978704,-0.3913,0.7342,-0.3694,1.4949
738193.797872963,-0.4044,0.7347,-0.3275,1.4666
738193.797875581,-0.4174,0.7364,-0.2837,1.4375
738193.797878119,-0.4301,0.7382,-0.2383,1.4066
738193.797880673,-0.4421,0.7387,-0.1932,1.374
738193.797883236,-0.454,0.7392,-0.1479,1.3411
738193.797885815,-0.4649,0.7399,-0.104,1.3088
738193.79788838,-0.4759,0.7404,-0.0608,1.2771
738193.797890987,-0.4862,0.7409,-0.0193,1.2464
738193.797893515,-0.4959,0.7416,0.0208,1.2583
738193.7978961,-0.505,0.7409,0.0584,1.3043
738193.79789866,-0.5134,0.7416,0.0948,1.3498
738193.797901233,-0.5213,0.7411,0.1291,1.3915
738193.797903802,-0.5288,0.7404,0.1613,1.4305
738193.797906374,-0.5354,0.7386,0.1914,1.4654
738193.797908979,-0.5418,0.7379,0.2198,1.4995
738193.79791152,-0.5471,0.7361,0.246,1.5292
738193.797914093,-0.5519,0.7344,0.2704,1.5567
738193.797916688,-0.5562,0.7324,0.2924,1.581
738193.797919232,-0.5595,0.7294,0.3126,1.6015
738193.79792181,-0.5622,0.7276,0.3309,1.6207
738193.79792437,-0.5644,0.7246,0.3474,1.6364
738193.797926949,-0.5664,0.7213,0.362,1.6497
738193.797929518,-0.5677,0.7183,0.3753,1.6613
738193.797932084,-0.5686,0.714,0.3872,1.6698
738193.797934664,-0.5696,0.7107,0.398,1.6783
